"Ich weiß jetzt, warum du weinst.",I know now why you cry.
Möchten Sie über Nacht bleiben?,Would you like to stay the night?
Ist Ihnen kalt?,Are you cold?
Habe ich das richtig gesagt?,Did I say that correctly?
Lasst uns ein Spiel spielen!,Let's play a game!
Wer ist sie?,Who is she?
Tiere haben Angst vor Feuer.,Animals are afraid of fire.
Ich warte draußen auf Sie.,I'll wait outside for you.
Ich kann gut küssen.,I'm a good kisser.
"Kannst du kochen? Nein, kann ich nicht.","Can you cook? No, I can't."
Er wartet auf den Bus.,He is waiting for the bus.
Da sind drei Bananen.,There are three bananas.
Sie werden das Spiel verlieren.,They will lose the game.
Verlier den Schlüssel nicht!,Don't lose the key!
Bitte tu das nicht.,Please don't do that.
Wie war dein Tag?,How was your day?
Warum hast du das gesagt?,Why did you say that?
Bitte weine nicht.,Please don't cry.
Ich will kochen lernen.,I want to learn how to cook.
Der Hund ist tot.,The dog is dead.
Was ist in der Tasche?,What is inside the bag?
Ihr Sohn lebt in Sydney.,Her son lives in Sydney.
Er spricht Englisch.,He speaks English.
Spricht sie Englisch?,Can she speak English?
Sie liest sehr gerne.,She loves reading.
Sind alle bereit?,Is everybody ready?
Sind alle da?,Is everyone here?
Ich arbeite so schnell ich kann.,I'm working as fast as I can.
Die Katze hat den Vogel getötet.,The cat killed the bird.
Ich bin zu allem bereit.,I'm ready for anything.
Gestern war es sehr kalt.,Yesterday it was very cold.
Das Gras ist grün.,The grass is green.
Mein Bruder sieht sehr gut aus.,My brother is very handsome.
Sag mir die Wahrheit!,Tell me the truth!
Dieses Telefon funktioniert nicht.,This telephone is out of order.
Sie möchte Zahnärztin werden.,She wants to become a dentist.
Bitte öffne die Tür.,Please open the door.
Kannst du mich zum Krankenhaus fahren?,Can you drive me to the hospital?
Bitte fang an zu essen!,Please start eating!
Ich werde gehen.,I will go.
Man ist nur einmal jung.,You are only young once.
Wo ist sie?,Where is she?
Er hatte einen Unfall.,He had an accident.
Diese Zahnpasta enthält Aloe Vera.,This toothpaste contains aloe vera.
Ich bin nicht hungrig.,I'm not hungry.
"Sie denkt, ich arbeite zu viel.",She thinks I work too much.
Ich finde dich lustig.,I think you're funny.
Ich hatte heute viel Spaß.,I had a lot of fun today.
Magst du alle deine Lehrer?,Do you like all your teachers?
Ich habe ihn zum Flughafen gefahren.,I drove him to the airport.
Wir sind gute Freunde.,We are good friends.
Wir heiraten im September.,We are getting married in September.
Sie sind glücklich verheiratet.,They are happily married.
Du bist schon fertig?,You've finished already?
Sie liebt ihn.,She loves him.
Schweine können nicht fliegen.,Pigs can't fly.
Wie kannst du dir so sicher sein?,How can you be so sure?
Sollen wir an den See fahren?,Should we drive to the lake?
Das interessiert mich nicht.,I'm not interested.
Er baute ein Boot.,He built a boat.
Ich brauche deinen Rat.,I need your advice.
Er hat starke Schmerzen.,He is in severe pain.
Das Wasser kocht.,The water is boiling.
Wann sollen wir gehen?,When should we leave?
Kann ich hier rauchen?,Can I smoke here?
Meine Schwester heiratet nächsten Monat.,My sister is getting married next month.
Dieses Messer ist sehr scharf.,This knife is very sharp.
Kannst du ein Beispiel nennen?,Could you give an example?
Diese Aufgabe ist einfach.,This task is easy.
Ich bin zu Hause.,I'm at home.
Wo ist die Zeitung?,Where is the newspaper?
Möchtest du eine Tasse Tee?,Would you like a cup of tea?
Bitte komm nicht zu spät!,Please don't be late!
Warum weint dieses Baby?,Why is this baby crying?
Was ist in dieser Kiste?,What is inside this box?
Keiner hat ihnen geholfen.,Nobody helped them.
Das Schlafzimmer ist zu klein.,The bedroom is too small.
Das ist ein gutes Beispiel.,This is a good example.
Dieser Stein ist sehr schwer.,This stone is very heavy.
Das verstehe ich nicht.,I don't understand.
Das Tor ist offen.,The gate is open.
Der Fisch schmeckt nicht gut.,This fish tastes bad.
Der Zug kommt.,The train is coming.
Der junge Mann sieht gut aus.,The young man is handsome.
Bitte rufen Sie die Polizei.,Please call the police.
Die Sonne scheint.,The sun is shining.
Öffne die Flasche.,Open the bottle.
Bitte gib mir das Buch.,Please give me the book.
Ich möchte zu Hause bleiben.,I want to stay home.
Heute ist Montag.,Today is Monday.
Kannst du mir etwas Wasser bringen?,Could you bring me some water?
Das Leben ist nicht einfach.,Life isn't easy.
Ist die Post noch geöffnet?,Is the post office still open?
Morgen wird das Wetter gut.,Tomorrow the weather will be good.
Die Teller sind im Schrank.,The plates are in the cupboard.
Möchten Sie tanzen?,Do you want to dance?
Wann fängt der Film an?,When does the movie start?
Er sprach leise.,He spoke quietly.
Das Baby lächelt.,The baby smiles.
Ist er krank?,Is he sick?
Ich habe einen Bruder.,I have a brother.
Er ist mein Freund.,He is my friend.
Das ist zu teuer.,That is too expensive.
Dieses Restaurant ist beliebt.,This restaurant is popular.
Der Fernseher ist im Wohnzimmer.,The TV is in the living room.
Ich lüge nicht!,I'm not lying!
Wo sind die Taxis?,Where are the taxis?
Ist dieses Gericht scharf?,Is this dish spicy?
Was ist deine E-Mail-Adresse?,What is your email address?
Arbeiten Sie hier?,Do you work here?
Kannst du mir ein Taxi rufen?,Can you call me a cab/taxi?
Du machst mich glücklich.,You make me happy.
Es regnet.,It is raining.
Ich bin stolz auf dich.,I'm proud of you.
Suchst du noch Arbeit?,Are you still looking for work?
Er kann dir helfen.,He can help you.
Kannst du Gitarre spielen?,Can you play guitar?
Ich habe einen Hund.,I have a dog.
Die Tür ist offen.,The door is open.
Sie ist zur Bank gegangen.,She's gone to the bank.
Wie viele Äpfel hast du gekauft?,How many apples did you buy?
Sie spricht drei Sprachen.,She speaks three languages.
Welchen Bus muss ich nehmen?,Which bus do I need to take?
Morgen wird es vielleicht regnen.,Perhaps it will rain tomorrow.
Meine Mutter fuhr mich zum Flughafen.,My mother drove me to the airport.
Wann sind Sie geboren?,When were you born?
Sie mag keinen grünen Tee.,She doesn't like green tea.
"Hallo, ich bin neu hier.","Hello, I'm new here. (e.g. in this company)"
"Ich bin 1,70m groß.",I'm 1.70m tall.
Ich mag ihn nicht.,I don't like him.
Kann ich Ihre Telefonnummer bekommen?,Can I have your telephone number?
Fahren Sie bitte langsamer!,Please drive more slowly!
Gott sei Dank ist heute endlich Freitag!,Thank God it's finally Friday!
"""Frohe Weihnachten!"", sagte er und lächelte.","""Merry Christmas!"" he said and smiled."
Ich bin verliebt!,I'm in love!
Bist du müde?,Are you tired?
Wo ist der nächste Geldautomat?,Where is the nearest cash machine/ATM?
Er singt gerne.,He loves to sing.
Was schlägst du vor?,What do you suggest?
Bist du bereit anzufangen?,Are you ready to start?
Sagst du mir die Wahrheit?,Are you telling me the truth?
Haben Sie eine Minute Zeit?,Can you spare a minute?
Bildung ist wichtig.,Education is important.
Der Wein ist im Keller.,The wine is in the cellar.
Jedem das Seine.,To each his own. (Latin: suum cuique)
"Entschuldigung, wir würden gerne bestellen.","Excuse me, we would like to order. (said in a restaurant)"
Pocahontas hatte lange schwarze Haare.,Pocahontas had long black hair.
Wollen wir uns morgen treffen?,Shall we meet tomorrow?
Im Januar ist es sehr kalt.,It gets very cold in January.
Sein Geburtstag ist im Juli.,His birthday is in July.
Wir hätten dir geholfen.,We would have helped you.
Auf Wiedersehen! Ich werde Sie vermissen!,Goodbye! I will miss you!
Guten Tag! Sind Sie Herr Meyer?,"Hello, are you Mr Meyer?"
Lang lebe der König!,Long live the king!
Eine Katze hat neun Leben.,A cat has 9 lives.
Das Buch hat tausend Seiten.,The book has a thousand pages.
Schnell! Rufen Sie einen Arzt!,Quick! Call a doctor!
Wie heißt du? Ich heiße Daniela.,What is your name? My name is Daniela.
Interessierst du dich für Kunst?,Are you interested in art?
Ich habe eine Idee.,I have an idea.
Ich möchte gleich zahlen.,I would like to pay immediately.
Hast du schon gegessen?,Have you already eaten?
Dieses Konzert ist kostenlos.,This concert is free.
Wo ist meine Brille?,Where are my glasses?
Hattest du einen schönen Urlaub?,Did you have a nice holiday?
Wer hat angerufen?,Who called? (telephone)
Ich brauche ein Zimmer.,I need a room.
Was machst du heute Abend?,What are you doing tonight?
Du fährst zu schnell!,You drive too fast!
Wo ist der Ausgang?,Where is the way out?
Ich spreche kein Deutsch.,I don't speak German.
Wo ist das nächste Hotel?,Where is the nearest hotel?
Seine Familie ist ihm sehr wichtig.,His family is very important to him.
Wo machst du dieses Jahr Urlaub?,Where are you going on holiday this year?
Was möchten Sie trinken?,What would you like to drink?
Was können Sie mir empfehlen?,What do you recommend?
Hast du heute Abend Zeit?,Do you have time this evening?
Kann ich dir helfen?,Can I help you?
Natürlich will ich dich heiraten!,Of course I want to marry you!
Möchtest du ein Eis?,Would you like some ice-cream?
In einer Minute müssen wir gehen.,We have to go in one minute.
Ich liebe dich für immer!,I'll love you forever!
Dieses Thema interessiert mich nicht.,This topic doesn't interest me.
Wo ist das Telefon?,Where is the telephone?
Bitte sag ja.,Please say yes.
Die Katze ist unter dem Tisch.,The cat is under the table.
Mein Geburtstag ist im April.,My birthday is in April.
Ich habe ihre Telefonnummer vergessen.,I've forgotten her telephone number.
Ich weiss nicht was ich tun soll.,I don't know what I should do.
Er arbeitet zu viel.,He works too much.
Ich suche Arbeit.,I'm looking for work.
Danke für deine Hilfe.,Thank you for your help.
Der Frühling beginnt im März.,Spring starts in March.
Hast du eine bessere Idee?,Do you have a better idea?
Das Kind weint.,The child is crying.
Dieses Auto ist sehr schnell.,This car is very fast.
Er ist durstig.,He is thirsty.
Mein Vater ist Lehrer.,My father is a teacher.
Ich bin fertig.,I have finished (doing something).
Sie heißt Bettina.,Her name is Bettina.
Ich komme aus Hamburg.,I'm from Hamburg.
Ich bin Deutsche.,I'm German. (female)
Er spricht nur ein bisschen Deutsch.,He only speaks a little German.
Ich wohne in Berlin.,I live in Berlin.
Ich arbeite bei BMW.,I work for BMW.
Österreich ist ein kleines Land.,Austria is a small country.
Sie lebt in einer kleinen Stadt.,She lives in a small town.
Vielleicht hast du Recht.,Maybe you are right.
Wo wohnst du?,Where do you live?
Das hoffe ich.,I hope so.
Ich lebe in diesem Haus.,I live in this house.
Ich werde damit nicht fertig.,I can't deal with this.
Kannst du mir bitte helfen?,Can you help me out please?
Warum weinst du?,Why are you crying?
Er wird heute dreißig Jahre alt.,He is turning thirty today.
Das war meine Idee.,It was my idea.
Er liebt seine Frau nicht mehr.,He doesn't love his wife anymore.
Wo ist das Klo?,Where is the loo?
Ein Bier bitte.,"A beer, please."
Ich bin müde.,I'm tired.
Was ist das?,What is that?
Wie heißt du?,What is your name?
Das macht nichts.,It doesn't matter.
Ich weiß nicht.,I don't know.
Ich bin sehr krank.,I'm very ill.
Es ist halb vier.,It's half past three. (half of the 4th hour has passed)
Ich brauche einen Arzt.,I need a doctor.
Haben Sie vielen Dank.,Many thanks!
Du bist süß!,You are sweet!
Lass mich bitte in Ruhe!,Please leave me alone!
Wir haben nicht viel Zeit.,We don't have much time.
Was sind Sie von Beruf?,What is your occupation?
Hat es Ihnen geschmeckt?,Did you like the food? (Did it taste good?)
"Die Rechnung, bitte!","The bill, please! (The check please!)"
Können Sie Englisch sprechen?,Can you speak English?
"Sprechen Sie langsam, bitte!","Speak slowly, please!"
Was kann ich für dich tun?,What can I do for you?
Ich glaube dir kein Wort.,I don't believe a word you say.
Er ist ein gefährlicher Mann.,He is a dangerous man.
Ich möchte nach Hause gehen.,I want to go home.
Bitte sag es noch einmal.,Please say it again.
Ich bin ganz Ohr.,I'm all ears. (I'm listening attentively.)
Wie sagt man das auf Deutsch?,How do you say that in German?
Zeit ist Geld.,Time is money.
Ich werde mit ihm reden.,I will speak to him.
Kann ich dich was fragen?,Can I ask you something?
Ich brauche deine Hilfe.,I need your help.
Wann kommt der nächste Bus?,When does the next bus come?
Ich werde es niemandem sagen.,I won't tell anybody.
Das glaube ich auch.,I think so too.
Wer bist du?,Who are you?
Warum hast du das getan?,Why did you do that?
Ist Michael da?,Is Michael around (here)?
Wohin gehst du?,Where are you going?
Wie ist das Wetter morgen?,How is the weather tomorrow?
Ich lerne Deutsch seit 5 Jahren.,I have been learning German for 5 years.
Dieses Kleid ist sehr hübsch.,This dress is very pretty.
Heute ist mein Geburtstag.,Today is my birthday.
Wie lange haben die Geschäfte auf?,How long are the shops open?
Das ist eine gute Idee.,That's a good idea.
Wann ist dein Geburtstag?,When is your birthday?
Wie ist Ihre Adresse?,What is your address?
Was hat er gesagt?,What did he say?
Hast du Schmerzen?,Are you in pain?
Hast du Angst?,Are you scared?
Sonst noch etwas?,Anything else?
Freut mich!,I'm pleased (to meet you)!
Ich habe keine Kinder.,I don't have children.
Wie komme ich zum Bahnhof?,How do I get to the railway station?
Ich komme später.,I'll come later
Was kostet das?,How much does it cost?
Wie spät ist es?,What time is it?
Das ist nicht möglich.,This isn't possible.
Er hat ein neues Auto gekauft.,He bought a new car.
Ich liebe dich.,I love you.
Ich vermisse dich.,I miss you.
Ich bin jetzt sehr hungrig.,I'm very hungry now.
Mein Name ist Julia.,My name is Julia.
Ich bin zwanzig Jahre alt.,I'm twenty years old.
Ich lerne Deutsch.,I'm learning German.
Ich gehe ins Kino.,I'm going to the cinema.
Ich arbeite in einer Bank.,I work in a bank.
Ich lese ein Buch.,I'm reading a book.
Mein Bruder ist verheiratet.,My brother is married.
Ich bin seit zwanzig Jahren verheiratet.,I've been married for twenty years.
Ich bin Lehrer.,I'm a teacher.
Ich bin in Berlin geboren.,I was born in Berlin.
Ich lebe in Deutschland.,I live in Germany.
Ich gehe in die Schule.,I'm going to school.
Mein Lehrer ist sehr alt.,My teacher is very old.
Das Gepäck ist schwer.,The luggage is heavy.
Du lernst sehr schnell.,You learn very fast.
Sprichst du Englisch?,Do you speak English?
Die Katze hat sich verletzt.,The cat is injured.
"Sprechen Sie langsamer, bitte.",Please speak more slowly.
Schönen Abend noch!,Have a nice evening!
Wohnst du gerne in Berlin?,Do you enjoy living in Berlin?
Ich habe nur Spaß gemacht.,I was just joking.
Der Computer funktioniert nicht mehr.,The computer isn't working anymore.
Wie alt bist du?,How old are you?
Sprechen Sie Deutsch?,Do you speak German?